Tanggal,Waktu,Lat,Long,ICAO,Angin,Visibility,Cuaca
02/04/2021,01:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,07007KT,9999,SCT011
02/04/2021,02:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,04003KT,9999,FEW011
02/04/2021,02:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,01004KT,9999,FEW011
02/04/2021,03:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,01006KT,9999,SCT011
02/04/2021,03:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,35005KT,9999,SCT012
02/04/2021,04:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,34007KT,9999,BKN012
02/04/2021,04:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,32006KT,9999,BKN012
02/04/2021,05:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,24003KT,8000,FEW011CB
02/04/2021,05:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,01005KT,8000,FEW011CB
02/04/2021,06:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,29005KT,8000,FEW011CB
02/04/2021,06:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,32009KT,8000,FEW011CB
02/04/2021,07:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,35007KT,9999,FEW011CB
02/04/2021,07:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,32012KT,9999,FEW011CB
02/04/2021,08:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,30010KT,9999,BKN012
02/04/2021,08:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,30013KT,9999,BKN012
02/04/2021,09:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,29012KT,9999,FEW011CB
02/04/2021,09:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,28008KT,9999,FEW011CB
02/04/2021,10:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,28008KT,9999,FEW011CB
02/04/2021,10:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,29005KT,9000,SCT012
02/04/2021,11:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,29004KT,7000,BKN012
02/04/2021,11:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,27003KT,6000,BKN012
02/04/2021,12:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,28003KT,6000,BKN012
02/04/2021,12:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,27003KT,6000,BKN012
02/04/2021,13:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,BKN012
02/04/2021,13:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,SCT012
02/04/2021,14:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,SCT012
02/04/2021,14:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,SCT012
02/04/2021,15:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,04003KT,6000,SCT012
02/04/2021,15:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,04002KT,9999
02/04/2021,16:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,30001KT,9999
02/04/2021,16:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,35001KT,9999
02/04/2021,17:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,VRB02KT,8000
02/04/2021,17:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,05001KT,9000
02/04/2021,18:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,10002KT,9000
02/04/2021,19:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,VRB02KT,8000
02/04/2021,19:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,08001KT,6000
02/04/2021,20:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,VRB02KT,5000
02/04/2021,20:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,06001KT,5000
02/04/2021,21:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,07001KT,6000
02/04/2021,21:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,04002KT,8000
02/04/2021,22:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT4000,BR,SCT012
02/04/2021,22:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,4000,BR
02/04/2021,23:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,5000,BR
02/04/2021,23:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,12003KT,4000,BR
03/04/2021,00:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,07004KT,8000,FEW010
03/04/2021,00:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,04003KT,9999,FEW011
03/04/2021,01:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,33003KT,9999,FEW011
03/04/2021,01:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,03008KT,9999,FEW012
03/04/2021,02:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,01007KT,9999,FEW012
03/04/2021,02:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,01006KT,9999,FEW012
03/04/2021,03:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,03008KT,9999,FEW012
03/04/2021,03:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,01007KT,9999,FEW012
03/04/2021,04:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,34015KT,9999,FEW012
03/04/2021,04:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,01011KT,9999,FEW012
03/04/2021,05:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,35011KT,9999,SCT012
03/04/2021,05:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,34010KT,9999,SCT
03/04/2021,05:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,WIOO,030530Z,34010KT
03/04/2021,06:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,34011KT,9999,BKN012
03/04/2021,06:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,27012KT,9999,BKN012
03/04/2021,07:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,28010KT,9999,SCT012
03/04/2021,07:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,31008KT,9999,FEW011CB
03/04/2021,08:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,27005KT,9999,FEW011CB
03/04/2021,08:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,28008KT,9999,FEW011CB
03/04/2021,09:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,29005KT,9999,FEW011CB
03/04/2021,09:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,26008KT,9999,SCT012
03/04/2021,10:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,25008KT,9999,SCT012
03/04/2021,10:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,24008KT,8000,SCT012
03/04/2021,11:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,26005KT,8000,SCT012
03/04/2021,11:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,27003KT,8000,SCT012
03/04/2021,12:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,8000,SCT012
03/04/2021,12:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,28003KT,8000,SCT012
03/04/2021,13:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,8000,SCT011
03/04/2021,13:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,33003KT,6000,SCT011
03/04/2021,14:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,SCT011
03/04/2021,14:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,SCT011
03/04/2021,15:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,SCT011
03/04/2021,15:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,SCT011
03/04/2021,16:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,16004KT,6000,SCT012
03/04/2021,16:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,5000,HZ
03/04/2021,17:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,5000,HZ
03/04/2021,17:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,SCT012
03/04/2021,18:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,SCT012
03/04/2021,18:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,15001KT,9999
03/04/2021,19:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,19001KT,8000
03/04/2021,19:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,00000KT,4900
03/04/2021,20:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,19001KT,8000
03/04/2021,20:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,31001KT,4800
03/04/2021,21:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,20001KT,6000
03/04/2021,21:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,22001KT,5000
03/04/2021,22:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,3000,BR
03/04/2021,22:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,3000,BR
03/04/2021,23:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,2000,BR
03/04/2021,23:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,4000,BR
04/04/2021,00:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,7000,FEW011
04/04/2021,00:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,7000,FEW011
04/04/2021,01:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,36003KT,8000,FEW011
04/04/2021,01:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,34003KT,9999,FEW011
04/04/2021,02:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,02004KT,9999,FEW011
04/04/2021,02:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,35004KT,9999,FEW012
04/04/2021,03:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,36004KT,9999,FEW012
04/04/2021,03:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,31004KT,9999,SCT012
04/04/2021,04:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,25004KT,9999,BKN012
04/04/2021,04:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,30005KT,9999,BKN012
