BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL(WIB)	WAKTU(WIB)	RADIUS KEMUNGKINAN	TIPE
110.4454	-7.5451	8	JAWA	DI YOGYAKARTA	SLEMAN	PAKEM	SNPP	2022-08-23	01:11:15	1125	pixel		
106.7037	-6.1729	8	JAWA	DKI JAKARTA	JAKARTA BARAT	KALIDERES	SNPP	2022-08-23	01:11:15	1125	pixel		
106.9293	-6.1295	8	JAWA	DKI JAKARTA	JAKARTA UTARA	CILINCING	NOAA20	2022-08-23	12:56:48	1125	pixel		
107.6909	-6.9748	8	JAWA	JAWA BARAT	BANDUNG	BOJONGSOANG	NOAA20	2022-08-23	12:56:48	1125	pixel		
107.6171	-6.9649	7	JAWA	JAWA BARAT	BANDUNG	DAYEUH KOLOT	NOAA20	2022-08-23	12:56:48	1125	pixel		
107.6996	-6.9338	8	JAWA	JAWA BARAT	BANDUNG	PANYILEUKAN	NOAA20	2022-08-23	12:56:48	1125	pixel		
107.2201	-6.9526	8	JAWA	JAWA BARAT	BANDUNG BARAT	RONGGA	SNPP	2022-08-23	13:50:51	1125	pixel		
107.2174	-6.9531	8	JAWA	JAWA BARAT	BANDUNG BARAT	RONGGA	SNPP	2022-08-23	13:50:51	1125	pixel		
107.2190	-6.9492	8	JAWA	JAWA BARAT	CIANJUR	CIBEBER	SNPP	2022-08-23	13:50:51	1125	pixel		
108.0265	-7.0514	8	JAWA	JAWA BARAT	GARUT	KERSAMANAH	SNPP	2022-08-23	01:11:15	1125	pixel		
108.0971	-6.5446	8	JAWA	JAWA BARAT	INDRAMAYU	TERISI	NOAA20	2022-08-23	00:18:36	1125	pixel		
108.0929	-6.5438	8	JAWA	JAWA BARAT	INDRAMAYU	TERISI	NOAA20	2022-08-23	00:18:36	1125	pixel		
107.3564	-6.2814	8	JAWA	JAWA BARAT	KARAWANG	MAJALAYA	SNPP	2022-08-23	01:11:15	1125	pixel		
107.3256	-6.2178	8	JAWA	JAWA BARAT	KARAWANG	RENGASDENGKLOK	SNPP	2022-08-23	01:11:15	1125	pixel		
108.4694	-6.9171	8	JAWA	JAWA BARAT	KUNINGAN	JALAKSANA	SNPP	2022-08-23	01:11:15	1125	pixel		
108.1341	-6.5820	8	JAWA	JAWA BARAT	MAJALENGKA	KERTAJATI	SNPP	2022-08-23	13:50:51	1125	pixel		
108.1317	-6.5821	8	JAWA	JAWA BARAT	MAJALENGKA	KERTAJATI	SNPP	2022-08-23	13:50:51	1125	pixel		
107.5826	-6.4800	8	JAWA	JAWA BARAT	SUBANG	PABUARAN	NOAA20	2022-08-23	12:56:48	1125	pixel		
107.8375	-6.8836	8	JAWA	JAWA BARAT	SUMEDANG	PAMULIHAN	NOAA20	2022-08-23	12:56:48	1125	pixel		
107.8582	-6.7093	8	JAWA	JAWA BARAT	SUMEDANG	TANJUNG MEKAR	NOAA20	2022-08-23	12:56:48	1125	pixel		
108.0989	-6.7933	8	JAWA	JAWA BARAT	SUMEDANG	TOMO	NOAA20	2022-08-23	12:56:48	1125	pixel		
108.0979	-6.7939	8	JAWA	JAWA BARAT	SUMEDANG	TOMO	NOAA20	2022-08-23	12:56:48	1125	pixel		
111.3388	-6.9157	8	JAWA	JAWA TENGAH	BLORA	JAPAH	NOAA20	2022-08-23	12:56:48	1125	pixel		
111.6115	-7.0678	8	JAWA	JAWA TENGAH	BLORA	SAMBONG	NOAA20	2022-08-23	12:56:48	1125	pixel		
109.0198	-7.0296	8	JAWA	JAWA TENGAH	BREBES	SONGGOM	NOAA20	2022-08-23	12:56:48	1125	pixel		
110.4988	-6.9505	8	JAWA	JAWA TENGAH	DEMAK	SAYUNG	NOAA20	2022-08-23	12:56:48	1125	pixel		
111.1734	-7.2571	8	JAWA	JAWA TENGAH	GROBOGAN	GABUS	SNPP	2022-08-23	01:11:15	1125	pixel		
110.6035	-7.1825	8	JAWA	JAWA TENGAH	GROBOGAN	KEDUNGJATI	NOAA20	2022-08-23	12:56:48	1125	pixel		
110.5965	-7.1836	7	JAWA	JAWA TENGAH	GROBOGAN	KEDUNGJATI	NOAA20	2022-08-23	12:56:48	1125	pixel		
110.6221	-7.1388	8	JAWA	JAWA TENGAH	GROBOGAN	KEDUNGJATI	NOAA20	2022-08-23	12:56:48	1125	pixel		
110.8877	-7.5569	8	JAWA	JAWA TENGAH	KARANGANYAR	JATEN	NOAA20	2022-08-23	12:56:48	1125	pixel		
110.9101	-7.5161	7	JAWA	JAWA TENGAH	KARANGANYAR	KEBAKKRAMAT	NOAA20	2022-08-23	12:56:48	1125	pixel		
110.6525	-7.6802	8	JAWA	JAWA TENGAH	KLATEN	CEPER	NOAA20	2022-08-23	00:18:36	1125	pixel		
111.2015	-6.8550	8	JAWA	JAWA TENGAH	PATI	PUCAKWANGI	NOAA20	2022-08-23	12:56:48	1125	pixel		
109.5568	-7.0581	8	JAWA	JAWA TENGAH	PEKALONGAN	KAJEN	SNPP	2022-08-23	01:11:15	1125	pixel		
111.4062	-6.7828	8	JAWA	JAWA TENGAH	REMBANG	SULANG	NOAA20	2022-08-23	00:18:36	1125	pixel		
110.4984	-7.0181	8	JAWA	JAWA TENGAH	SEMARANG	PEDURUNGAN	NOAA20	2022-08-23	12:56:48	1125	pixel		
111.0670	-7.3772	8	JAWA	JAWA TENGAH	SRAGEN	SAMBUNG MACAN	NOAA20	2022-08-23	12:56:48	1125	pixel		
