BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
106.6602	-7.0567	8	JAWA	JAWA BARAT	KAB. SUKABUMI	SIMPENAN	NOAA20	2020-09-12	06:14:46.000000		
106.6018	-7.0445	7	JAWA	JAWA BARAT	KAB. SUKABUMI	SIMPENAN	NOAA20	2020-09-12	06:14:46.000000		
106.7258	-7.3446	8	JAWA	JAWA BARAT	KAB. SUKABUMI	TEGALBULEUD	NOAA20	2020-09-12	06:14:46.000000		
108.0623	-6.7014	7	JAWA	JAWA BARAT	KAB. SUMEDANG	CONGGEANG	NOAA20	2020-09-12	06:14:46.000000		
108.1189	-6.8150	7	JAWA	JAWA BARAT	KAB. SUMEDANG	TOMO	NOAA20	2020-09-12	06:14:46.000000		
108.1071	-6.7344	8	JAWA	JAWA BARAT	KAB. SUMEDANG	UJUNGJAYA	AQUA	2020-09-12	06:11:00		
108.0965	-6.7358	9	JAWA	JAWA BARAT	KAB. SUMEDANG	UJUNGJAYA	AQUA	2020-09-12	06:11:00		
108.1024	-6.7326	7	JAWA	JAWA BARAT	KAB. SUMEDANG	UJUNGJAYA	NOAA20	2020-09-12	06:14:46.000000		
108.0846	-6.7319	7	JAWA	JAWA BARAT	KAB. SUMEDANG	UJUNGJAYA	NOAA20	2020-09-12	06:14:46.000000		
107.6915	-6.9347	8	JAWA	JAWA BARAT	KOTA BANDUNG	CINAMBO	AQUA	2020-09-12	06:11:00		
109.7431	-6.9157	7	JAWA	JAWA TENGAH	KAB. BATANG	BATANG	NOAA20	2020-09-12	06:14:46.000000		
109.7426	-6.9123	7	JAWA	JAWA TENGAH	KAB. BATANG	BATANG	NOAA20	2020-09-12	06:14:46.000000		
111.2467	-6.9383	8	JAWA	JAWA TENGAH	KAB. BLORA	JAPAH	TERRA	2020-09-12	03:17:00		
111.3144	-7.2761	7	JAWA	JAWA TENGAH	KAB. BLORA	JATI	NOAA20	2020-09-12	06:14:46.000000		
111.3016	-7.2723	7	JAWA	JAWA TENGAH	KAB. BLORA	JATI	NOAA20	2020-09-12	06:14:46.000000		
111.2621	-7.2346	7	JAWA	JAWA TENGAH	KAB. BLORA	JATI	NOAA20	2020-09-12	06:14:46.000000		
111.2779	-7.2284	8	JAWA	JAWA TENGAH	KAB. BLORA	JATI	NOAA20	2020-09-12	06:14:46.000000		
111.3336	-7.1220	7	JAWA	JAWA TENGAH	KAB. BLORA	JATI	NOAA20	2020-09-12	06:14:46.000000		
111.3712	-7.3148	8	JAWA	JAWA TENGAH	KAB. BLORA	KRADENAN	NOAA20	2020-09-12	06:14:46.000000		
111.3167	-7.0953	7	JAWA	JAWA TENGAH	KAB. BLORA	NGAWEN	NOAA20	2020-09-12	06:14:46.000000		
111.4081	-7.1360	7	JAWA	JAWA TENGAH	KAB. BLORA	RANDUBLATUNG	NOAA20	2020-09-12	06:14:46.000000		
111.5225	-7.0995	8	JAWA	JAWA TENGAH	KAB. BLORA	SAMBONG	NOAA20	2020-09-12	06:14:46.000000		
111.5724	-7.0618	8	JAWA	JAWA TENGAH	KAB. BLORA	SAMBONG	NOAA20	2020-09-12	06:14:46.000000		
111.4044	-6.8936	8	JAWA	JAWA TENGAH	KAB. BLORA	TUNJUNGAN	NOAA20	2020-09-12	06:14:46.000000		
110.7617	-7.2444	7	JAWA	JAWA TENGAH	KAB. BOYOLALI	JUWANGI	NOAA20	2020-09-12	06:14:46.000000		
110.6651	-7.2901	8	JAWA	JAWA TENGAH	KAB. BOYOLALI	WONOSEGORO	SNPP	2020-09-12	05:24:59.000000		
