BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
110.5998	-1.4428	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. KETAPANG 	NANGATAYAP 	SNPP	2020-08-04	05:58:50.000000		
110.6327	-1.4207	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. KETAPANG 	NANGATAYAP 	SNPP	2020-08-04	05:58:50.000000		
110.6656	-1.9612	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. KETAPANG 	RIAM 	AQUA	2020-08-04	06:05:00.000000		
110.5422	-1.2799	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. KETAPANG 	SANDAI 	SNPP	2020-08-04	05:58:50.000000		
110.5082	-1.1768	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. KETAPANG 	SANDAI 	SNPP	2020-08-04	05:58:50.000000		
110.6223	-0.9776	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. KETAPANG 	SANDAI 	NOAA20	2020-08-04	17:50:04.000000		
110.5060	-0.5121	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. KETAPANG 	SIMPANGHULU 	AQUA	2020-08-04	06:05:00.000000		
110.6270	-0.6253	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. KETAPANG 	SUNGAI LAUR 	NOAA20	2020-08-04	05:07:35.000000		
110.3463	-0.3785	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	AQUA	2020-08-04	06:05:00.000000		
110.3218	-0.3169	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	AQUA	2020-08-04	06:05:00.000000		
110.3206	-0.3079	9	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	AQUA	2020-08-04	06:05:00.000000		
110.3115	-0.3092	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	AQUA	2020-08-04	06:05:00.000000		
110.3158	-0.3512	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	SNPP	2020-08-04	05:58:50.000000		
110.2986	-0.3331	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	SNPP	2020-08-04	05:58:50.000000		
110.3088	-0.3282	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	SNPP	2020-08-04	05:58:50.000000		
110.2981	-0.3298	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	SNPP	2020-08-04	05:58:50.000000		
110.3210	-0.3126	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	SNPP	2020-08-04	05:58:50.000000		
110.3174	-0.3131	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	SNPP	2020-08-04	05:58:50.000000		
110.2365	-0.0713	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SANGGAU 	MELIAU 	SNPP	2020-08-04	05:58:50.000000		
112.2256	-0.4880	8	KALIMANTAN	 KALIMANTAN BARAT 	 KAB. SINTANG 	MENUKUNG 	NOAA20	2020-08-04	17:48:39.000000		
