BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
109.5045	-0.3231	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.5007	-0.3226	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.5050	-0.3197	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.5088	-0.3203	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.5093	-0.3168	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.5056	-0.3162	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.5013	-0.3191	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.5023	-0.3122	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.3716	-0.1622	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.3792	-0.1576	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.3801	-0.1565	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.3679	-0.1617	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.3798	-0.1541	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.3814	-0.1438	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.3777	-0.1432	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.3649	-0.1271	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
109.3819	-0.1404	8	KALIMANTAN	"KALIMANTAN BARAT"	"KUBU RAYA"	SUNGAIRAYA	SNPP	2021-02-25	01:09:04		
108.8881	0.7987	8	KALIMANTAN	"KALIMANTAN BARAT"	BENGKAYANG	"SUNGAI RAYA"	SNPP	2021-02-24	12:25:10		
108.8892	0.7969	8	KALIMANTAN	"KALIMANTAN BARAT"	BENGKAYANG	"SUNGAI RAYA"	SNPP	2021-02-25	01:09:04		
110.4823	-1.5304	8	KALIMANTAN	"KALIMANTAN BARAT"	KETAPANG	NANGATAYAP	SNPP	2021-02-25	01:09:04		
110.4827	-1.5267	8	KALIMANTAN	"KALIMANTAN BARAT"	KETAPANG	NANGATAYAP	SNPP	2021-02-25	01:09:04		
109.4273	0.5147	8	KALIMANTAN	"KALIMANTAN BARAT"	LANDAK	"MEMPAWAH HULU"	SNPP	2021-02-24	12:25:10		
109.3799	0.6404	9	KALIMANTAN	"KALIMANTAN BARAT"	LANDAK	"MEMPAWAH HULU"	SNPP	2021-02-24	12:25:10		
109.3829	0.6409	8	KALIMANTAN	"KALIMANTAN BARAT"	LANDAK	"MEMPAWAH HULU"	SNPP	2021-02-24	12:25:10		
109.3316	-0.0727	8	KALIMANTAN	"KALIMANTAN BARAT"	PONTIANAK	"PONTIANAK SELATAN"	SNPP	2021-02-25	01:09:04		
109.3353	-0.0733	8	KALIMANTAN	"KALIMANTAN BARAT"	PONTIANAK	"PONTIANAK SELATAN"	SNPP	2021-02-25	01:09:04		
109.3322	-0.0693	8	KALIMANTAN	"KALIMANTAN BARAT"	PONTIANAK	"PONTIANAK SELATAN"	SNPP	2021-02-25	01:09:04		
109.3232	-0.0784	8	KALIMANTAN	"KALIMANTAN BARAT"	PONTIANAK	"PONTIANAK SELATAN"	SNPP	2021-02-25	01:09:04		
109.1267	0.2807	8	KALIMANTAN	"KALIMANTAN BARAT"	PONTIANAK	"SUNGAI PINYUH"	SNPP	2021-02-25	01:09:04		
109.1900	0.2325	8	KALIMANTAN	"KALIMANTAN BARAT"	PONTIANAK	SEGEDONG	SNPP	2021-02-25	01:09:04		
109.2550	0.1661	8	KALIMANTAN	"KALIMANTAN BARAT"	PONTIANAK	SEGEDONG	SNPP	2021-02-25	01:09:04		
109.2291	0.2193	8	KALIMANTAN	"KALIMANTAN BARAT"	PONTIANAK	SEGEDONG	SNPP	2021-02-25	01:09:04		
109.2795	0.0333	8	KALIMANTAN	"KALIMANTAN BARAT"	PONTIANAK	SIANTAN	SNPP	2021-02-25	01:09:04		
109.2875	0.0601	8	KALIMANTAN	"KALIMANTAN BARAT"	PONTIANAK	SIANTAN	SNPP	2021-02-25	01:09:04		
109.1196	1.0827	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-24	12:25:10		
109.1272	1.0805	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-25	01:09:04		
109.1212	1.0856	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-24	12:25:10		
109.1205	1.0851	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-25	01:09:04		
109.1271	1.0865	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-24	12:25:10		
109.1241	1.0845	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-25	01:09:04		
109.1255	1.0837	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-24	12:25:10		
109.1277	1.0839	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-25	01:09:04		
109.1211	1.0884	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-25	01:09:04		
109.1188	1.0878	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-24	12:25:10		
109.1182	1.0851	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-24	12:25:10		
109.1152	1.0847	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"SELAKAU TIMUR"	SNPP	2021-02-24	12:25:10		
109.1320	1.3617	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	"TELUK KERAMAT"	SNPP	2021-02-24	12:25:10		
109.1160	1.1031	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	SEMPARUK	SNPP	2021-02-25	01:09:04		
109.0935	1.0997	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	SEMPARUK	SNPP	2021-02-25	01:09:04		
109.0925	1.0993	9	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	SEMPARUK	SNPP	2021-02-24	12:25:10		
109.0899	1.1003	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	SEMPARUK	SNPP	2021-02-25	01:09:04		
109.1164	1.1031	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	TEBAS	SNPP	2021-02-24	12:25:10		
