BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL(WIB)	WAKTU(WIB)	RADIUS KEMUNGKINAN	TIPE
120.6536	-10.1699	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	SUMBA TIMUR	PAHUNGALODU	NOAA20	2021-04-17	01:04:10	1125	pixel		
120.6530	-10.1743	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	SUMBA TIMUR	PAHUNGALODU	NOAA20	2021-04-17	01:04:10	1125	pixel		
120.6529	-10.1771	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	SUMBA TIMUR	PAHUNGALODU	NOAA20	2021-04-17	01:04:10	1125	pixel		
119.3433	-2.0598	8	SULAWESI	SULAWESI BARAT	MAMUJU TENGAH	TOBADAK	NOAA20	2021-04-17	01:04:10	1125	pixel		
119.3450	-2.0570	8	SULAWESI	SULAWESI BARAT	MAMUJU TENGAH	TOPOYO	NOAA20	2021-04-17	01:04:10	1125	pixel		
121.7205	-4.8150	8	SULAWESI	SULAWESI TENGGARA	BOMBANA	POLEANG TIMUR	SNPP	2021-04-17	00:13:00	1125	pixel		
122.4049	-3.8703	8	SULAWESI	SULAWESI TENGGARA	KONAWE	BONDOALA	SNPP	2021-04-17	00:13:00	1125	pixel		
122.4085	-3.8709	8	SULAWESI	SULAWESI TENGGARA	KONAWE	BONDOALA	SNPP	2021-04-17	00:13:00	1125	pixel		
122.4218	-3.9042	8	SULAWESI	SULAWESI TENGGARA	KONAWE	BONDOALA	SNPP	2021-04-17	00:13:00	1125	pixel		
122.4182	-3.9036	8	SULAWESI	SULAWESI TENGGARA	KONAWE	BONDOALA	SNPP	2021-04-17	00:13:00	1125	pixel		
122.4146	-3.9030	8	SULAWESI	SULAWESI TENGGARA	KONAWE	BONDOALA	SNPP	2021-04-17	00:13:00	1125	pixel		
102.8718	-1.5850	8	SUMATERA	JAMBI	BATANGHARI	MERSAM	NOAA20	2021-04-17	01:04:10	1125	pixel		
103.1099	-1.7747	8	SUMATERA	JAMBI	BATANGHARI	MUARA BULIAN	NOAA20	2021-04-17	01:04:10	1125	pixel		
103.3729	-1.1878	8	SUMATERA	JAMBI	TANJUNG JABUNG BARAT	TUNGKALILIR	NOAA20	2021-04-17	01:04:10	1125	pixel		
102.9000	-1.0481	8	SUMATERA	JAMBI	TANJUNG JABUNG BARAT	TUNGKALULU	NOAA20	2021-04-17	01:04:10	1125	pixel		
105.6605	-4.8614	8	SUMATERA	LAMPUNG	LAMPUNG TIMUR	SUKADANA	NOAA20	2021-04-17	01:04:10	1125	pixel		
105.6643	-4.8620	8	SUMATERA	LAMPUNG	LAMPUNG TIMUR	SUKADANA	NOAA20	2021-04-17	01:04:10	1125	pixel		
105.6706	-4.9445	8	SUMATERA	LAMPUNG	LAMPUNG TIMUR	SUKADANA	NOAA20	2021-04-17	01:04:10	1125	pixel		
103.1873	0.3995	8	SUMATERA	RIAU	PELALAWAN	KUALA KAMPAR	NOAA20	2021-04-17	01:04:10	1125	pixel		
100.3455	2.1173	8	SUMATERA	RIAU	ROKAN HILIR	BAGAN SINEMBAH	NOAA20	2021-04-17	01:04:10	1125	pixel		
