BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
120.4186	0.5593	8	SULAWESI	"SULAWESI TENGAH"	PARIGIMOUTONG	PALASA	NOAA20	2020-12-09	12:18:26		
120.3619	0.5976	8	SULAWESI	"SULAWESI TENGAH"	PARIGIMOUTONG	PALASA	NOAA20	2020-12-09	12:18:26		
120.3654	0.5982	8	SULAWESI	"SULAWESI TENGAH"	PARIGIMOUTONG	PALASA	NOAA20	2020-12-09	12:18:26		
120.2459	-1.8587	8	SULAWESI	"SULAWESI TENGAH"	POSO	"LORE BARAT"	SNPP	2020-12-09	13:09:40		
120.7518	-1.3975	7	SULAWESI	"SULAWESI TENGAH"	POSO	"POSO KOTA"	AQUA	2020-12-09	12:23:00		
120.8229	1.0429	7	SULAWESI	"SULAWESI TENGAH"	TOLITOLI	BAOLAN	TERRA	2020-12-09	09:29:00		
121.8076	0.4321	8	SULAWESI	GORONTALO	PAHUWATO	RANDANGAN	NOAA20	2020-12-09	12:18:26		
121.8099	0.4342	8	SULAWESI	GORONTALO	PAHUWATO	RANDANGAN	SNPP	2020-12-09	00:30:02		
121.8072	0.4346	8	SULAWESI	GORONTALO	PAHUWATO	RANDANGAN	SNPP	2020-12-09	11:30:06		
121.8099	0.4362	7	SULAWESI	GORONTALO	PAHUWATO	RANDANGAN	TERRA	2020-12-09	09:29:00		
104.2731	1.1026	8	SUMATERA	"KEP. RIAU"	BINTAN	"BINTAN UTARA"	SNPP	2020-12-09	13:09:40		
98.0903	2.3633	7	SUMATERA	ACEH	"ACEH SINGKIL"	"DANAU PARIS"	TERRA	2020-12-09	11:06:00		
100.6500	0.2773	8	SUMATERA	RIAU	KAMPAR	"TIGA BELAS KOTO KAMPAR"	NOAA20	2020-12-09	01:24:05		
